duckats_value,category,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,answer_text
50,Coffee_Tea,"What does the Italian word ""macchiato"" mean?",Foamed,Machine-Made,Stained,Steamed,C,"A latte macchiato, for example, is made or ""stained"" with a small amount of espresso. "
50,Coffee_Tea,"Mocha coffee is named after the city of Moka, which is in what country?",India,Kuwait,Saudi Arabia,Yemen,D,
50,Coffee_Tea,Mount Kilimanjaro is located in which of the following coffee-growing countries?,Ethiopia,Kenya,Madagascar,Uganda,B,
50,Coffee_Tea,How many main categories of tea are there?,Two,Three,Four,Five,C,"Black, green, oolong and white. The category depends on the method of processing and amount of allowed oxidation."
50,Coffee_Tea,"What does the word ""tisane"" refer to?",Herbal Tea,Finger-Sized Pastry,Spice Mixture,Vodka-Based Cocktail ,A,"A tisane is made by steeping herbs, spices and/or flowers in boiling water. Many tisanes are made for medicinal purposes (for example, camomile is said to be useful against headaches; mint is a tonic)."
40,Coffee_Tea,"When coffee beans are still on the tree, what fruit do they resemble?",Apricot,Cherry,Raspberry,,B,
40,Coffee_Tea,Which of the following is NOT a black tea?,Assam,Gunpowder,Keemun,,B,It is a green tea. 
40,Coffee_Tea,In what year did Indian tea became available in Britain?,1772,1839,1886?,,err,Indian tea was inexpensive and quickly became the national drink. 
40,Coffee_Tea,"Which of the following teas has a tarry, smoky flavor?",Keemun,Lapsang Souchong,Yunnan,,B,
40,Coffee_Tea,"Compared with a latte macchiato, a caffè macchiato has",More Milk Than Coffee,Less Milk Than Coffee,The Same Amount Of Milk And Coffee,,B,A caffè macchiato is a single or double espresso topped with one or two spoonfuls of frothed milk whereas a latte macchiato is the reverse: a cup of steamed milk with a single or double espresso added. 
40,Coffee_Tea,Mazagran is,A French Name For Cold Coffee And Seltzer,A Spanish Utensil For Sifting Flour,A Three-Liter Measure Of Wine In Italy,,A,"It is named for the town of Mazagran, in Algeria. "
30,condiments,True or false? Chutney can be sweet or hot.  ,TRUE,FALSE,,,A,"Chutneys are mixture of fruits and/or vegetables cooked in vinegar, sugar and spices. The word ""chutney"" comes from a Hindustani word meaning ""hot spices. However, chutney is actually a British specialty dating from the colonial era. "
30,condiments,True or false? Chutney sometimes contains meat.  ,TRUE,FALSE,,,B,"All chutneys are vegetarian, although the ingredients vary widely. "
30,Condiments,True or false? Jaggery is a thin porridge made with fine oatmeal or barley.  ,TRUE,FALSE,,,B,Jaggery is traditional unrefined sugar obtained from sugar cane and the date palm tree. It is used in sweet and savory dishes in India and Sri Lanka.
30,Condiments,True or false? The addition of vinegar to mustard lessens the intensity of the heat.   ,TRUE,FALSE,,,B,"Vinegar intensifies heat, as does cold liquid. "
30,Condiments,"True or false? Sugars have NO nutritional value, except as a source of energy.   ",TRUE,FALSE,,,A,
40,Condiments,Which of the following is America's leading food additive?,Monosodium Glutamate,Salt,Sugar,,C,Salt is second. 
40,Condiments,Wasabi is similar to which of the following?,Collards,Horseradish,Kohlrabi,,B,This pungent Japanese condiment is made from the root of a perennial herb in the same family as mustard and broccoli. 
50,Condiments,Wasabi is a Japanese,Condiment,Fish Dish,Seaweed,Vegetable Steamer,A,Wasabi is a piquant paste that accompanies various foods. 
30,Confectionary,True or false? The cacao tree is native to Africa. ,TRUE,FALSE,,,B,"The cacao tree is native to Central and South America, although it is cultivated in Africa, Sri Lanka, Madagascar, Samoa, Southeast Asia, and the Philippines. "
30,Confectionary,True or false? A white discoloration of chocolate is a form of mould.  ,TRUE,FALSE,,,B,The whitish tinge one sometimes sees on chocolate is called the bloom; it is the result of cocoa fat or sugar being drawn to the surface because of improper storage. 
30,Confectionary,True or false? Gastrique is a kind of French hot plate.  ,TRUE,FALSE,,,B,Gastrique is a syrupy glaze of sugar and vinegar that is drizzled over a preparation. 
30,Confectionary,True or false? Licorice is made from the anise plant. ,TRUE,FALSE,,,B,"True licorice is derived from the licorice perennial shrub. Many commercial licorices contain no licorice and are instead flavored with anise, which has a similar taste but is unrelated to true licorice."
30,Confectionary,True or false? Licorice contains no fat.  ,TRUE,FALSE,,,A,
30,Confectionary,True or false? Toffee is essentially the same as caramel.   ,TRUE,FALSE,,,B,"Toffee is made by adding butter or cream to caramel, which is sugar that has been boiled down to yield a full, intense flavor. "
30,Confectionary,True or false? Varak is a decoration for desserts made of edible silver or gold.   ,TRUE,FALSE,,,A,"Varak (also vark) are gossamer-thin sheets of pure silver or gold used to garnish sweets in India. They are edible, flavorless, and dissolve easily."
40,Confectionary,"What does the phrase ""hard-crack"" refer to?",A Degree Of Doneness In Boiled Eggs,A Kind Of Candy Syrup,A Type Of Nut Shell,,B,The range of candy syrups made from sugar and water is from small-thread (least cooked) to caramel (most cooked). 
40,Confectionary,"Marzipan is made with sugar, egg whites and what other main ingredient?",Almonds,Hazelnuts,Peanuts,,A,Marzipan is a popular icing for Christmas and wedding cakes. It is said to have been invented by the Ursuline order of nuns in France in the 1800s.
40,Confectionary,Which of the following is NOT a flavoring in Mexican chocolate?,Almond,Nutmeg,Vanilla,,B,
40,Confectionary,In what country was milk chocolate invented?,Belgium,France,Switzerland,,C,
40,Confectionary,"A concoction of sugar or honey, roasted nuts and candied fruit is called",Manzanilla,Nougat,Ratafia,,B,This sweetmeat was first made in Marseille in the 16th century and is still a specialty of southeastern France. 
40,Confectionary,Ratafia does NOT refer to which of the following?,A Biscuit,A Hard Candy,A Liqueur,,B,"The ratafia biscuit and liqueur are flavored with peach or cherry kernels, bitter almonds or other fruits. "
50,Confectionary,Halvah is a confection containing which of the following?,Cinnamon,Nutmeg,Peanuts,Sesame,D,Halvah is a Middle Eastern sweet made of ground sesame seeds and honey. 
50,Confectionary,Praline is a confection of caramelized sugar and,Almond,Hazelnut,Peanut,Pecan,A,
50,Confectionary,What is treacle?,Beverage Of Ale And Fruit Juice,Bread Pudding,Bread Yeast,Sugary Syrup,D,"Treacle is a generic name for syrup made during the refining of sugar cane. Dark treacle is strong and slightly bitter, but not as dark as molasses."
30,Dairy,True or false? Brick is a genuine American cheese.  ,TRUE,FALSE,,,A,The name of this all-American Wisconsin cheese is said to derive from the fact that bricks were once used to weigh the curd and press out the whey. It is also shaped like a brick.
30,Dairy,True or false? Caerphilly is originally an Irish cheese.  ,TRUE,FALSE,,,B,"Caerphilly, a semi-firm cheese with a mild, tangy flavor, was originally a Welsh cheese. "
30,Dairy,True or false? Camembert is a soft-ripened cheese.  ,TRUE,FALSE,,,A,"Camembert has a creamy interior and a thin, edible crust. Camembert was invented around the time of the French Revolution, in Normandy."
30,Dairy,True or false? Cheshire is a relatively new British cheese.  ,TRUE,FALSE,,,B,"Cheshire is one of the oldest cheeses in Britain. Port records from 1770 show that over 5,000 tons of Cheshire were shipped to London that year."
30,Dairy,"True or false? In French, chèvre refers to sheep's milk cheese.  ",TRUE,FALSE,,,B,Chèvres are goat milk cheeses. 
30,Dairy,True or false? Edam is another name for Swiss cheese. ,TRUE,FALSE,,,B,Edam is a Dutch cheese. 
30,Dairy,"True or false? The technical term for the holes formed in cheeses after the fermentation process is ""eyes.""  ",TRUE,FALSE,,,A,
30,Dairy,"True or false? Cottage cheese, cream cheese and ricotta cheese are examples of fresh cheeses. ",TRUE,FALSE,,,A,
30,Dairy,True or false? Gouda accounts for two-thirds of all Dutch cheese.  ,TRUE,FALSE,,,A,
30,Dairy,"True or false? The Italian term ""grana"" refers to hard, grainy cheese.  ",TRUE,FALSE,,,A,"Grana means ""grain. Parmesan (Parmigiano"" in Italian) is a classic example of a grana cheese."
30,Dairy,True or false? Gruyère cheese is from Belgium. ,TRUE,FALSE,,,B,Gruyère comes from Switzerland. 
30,Dairy,True or false? Cheese is the oldest of man-made foods.  ,TRUE,FALSE,,,A,"The proposed dates of its ""discovery"" range from 8,000 to 3,000 BCE. "
30,Dairy,True or false? Mozzarella was originally made from the milk of domesticated water buffalo.  ,TRUE,FALSE,,,A,"In fact, traditional Mozarella is still made this way in the Italian provinces of Latium and Campania; cow's milk is used in the rest of Italy. "
30,Dairy,"True or false? In Italy, Pecorino refers to sheep's milk cheese.   ",TRUE,FALSE,,,A,"Pecorino has been made since the time of the ancient Romans. Its name comes from the Italian word ""pecora,"" which means ""ewe."
30,Dairy,True or false? Ricotta refers to a type of pasta.  ,TRUE,FALSE,,,B,Ricotta is a type of cheese. 
30,dairy,True or false? Condensed milk is sweetened before being reduced.  ,TRUE,FALSE,,,B,Sugar is added after the water has been removed. Unopened condensed milk keeps almost indefinitely.
40,Dairy,Black Diamond and Cherry Hill are two examples of high quality cheddars from which country?,Canada,Great Britain,Usa,,A,
40,Dairy,"What does the term ""cheddaring"" refer to?",Aging Cheese In Wood,Coloring Cheese,"Stacking, Cutting And Turning Curds",,C,
40,Dairy,What country is Esrom cheese from?,Denmark,Holland,Norway,,A,"Named for its town of origin, this semi-soft cheese has a slightly pungent flavor. "
40,Dairy,"Feta cheese is made by pressing curds into a mould then slicing the resulting mass into slabs, which are soaked in brine. Which of these stages gives feta its name?",Pressing,Slicing,Soaking In Brine,,B,"The name is derived from the modern Greek ""tyri pheta,"" which means ""cheese slice. "
40,Dairy,Gorgonzola is a kind of,Cheese,Cream-Filled Pastry,Pizza,,A,"Named for a town outside Milan where it was originally made, Gorgonzola has an ivory-colored interior and is streaked with bluish-green veins. "
40,Dairy,Idiazabal is a Spanish,Cheese,Fortified Wine,Sausage,,A,This unpasteurized sheep's milk cheese from the Basque and Navarre regions of Spain has a slightly smoky and nutty flavor when young. The longer-aged version is great for grating.
40,Dairy,What country does Jarlsberg cheese come from?,Denmark,Norway,Sweden,,B,Jarlsberg is a mild Swiss-style cheese. 
40,Dairy,From what country do we get Manchego cheese?,Italy,Portugal,Spain,,C,"Manchego, which is from La Mancha, is a semi-firm cheese with a full, mellow flavor. "
40,Dairy,Which cheese was first made by French Trappist monks in the early 19th century and named after the abbey?,Camembert,Port-Salut,Reblochon,,B,
40,Dairy,Ricotta cheese is made with which of the following?,The Solids Of The Milk,The Whey Of The Milk,Both The Whey And Solids Of The Milk,,B,"In contrast, most cheese is made from the solids of the milk. "
40,Dairy,Which of the following cheeses is from Quebec?,Mimolette,Neufchâtel,Riopelle,,C,Le Riopelle de l 'isle is a triple-cream cheese named after the renowned Quebec painter Jean-Paul Riopelle. It has a buttery taste with hints of mushrooms and hazelnuts.
40,Dairy,Which of the following cheeses is often used as a substitute for Parmigiano?,Friulano,Ricotta,Romano,,C,This hard cheese has a texture very similar to that of Parmigiano and is ideal for grating. 
40,Dairy,A round soft cheese made from ewe's milk and ripened in cabbage leaves is,Cotswold,Finslaydale,Slipcote,,C,This is one of the oldest (dating to Shakespeare's time) and best English cream cheeses. 
40,Dairy,In what US state is Tillamook cheese made?,Minnesota,Oregon,Wisconsin,,B,"This cheddar cheese gets its name from the town of Tillamook, which is located on the southeast end of Tillamook Bay, on the Pacific Ocean. "
40,Dairy,What is Yarg?,A Cheese,Beer And Whiskey,A Porridge ,,A,"Yarg is a hard cow's milk cheese from Cornwall. Before being left to mature, it is wrapped in nettle leaves to form an edible mouldy rind. The odd name is the family name of its makers, Gray, spelled backward. "
50,Dairy,Affinage refers to,Adding Carbonation To Wine,Filtering Of Wine,Reduction Of A Sauce,Ripening Of Cheese,D,Affinage is the craft of aging and maturing cheeses. 
50,Dairy,Which of the following is NOT a soft-ripened cheese?,Boursault,Camembert,Coulommiers,Gruyere,A,"This is a triple-cream cheese, containing 70 per cent butterfat. This high cream content gives it a smooth, buttery taste."
50,Dairy,Cheddar represents what percentage of cheese produced in the United States?,50 Per Cent,60 Per Cent,70 Per Cent,90 Per Cent,C,
50,Dairy,In which country did Edam cheese originate?,Denmark,Germany,Holland,Switzerland,C,Edam is a mellow cheese with a yellow interior; it comes encased in a red or yellow paraffin coating. 
50,Dairy,Haloumi is,A Chick Pea Salad,A Small Lemon Tart,A Giant Olive,Mild Cheese,D,"This salty cheese from Cyprus, which is popular throughout the Middle East and Greece, is commonly cut into slices and fried or grilled. "
50,Dairy,What country is the world's biggest cheese exporter?,France,Holland,Italy,Usa,B,"Though the Dutch are sixth in the world in cheese production, they are first in exports. "
50,Dairy,"What do the German word ""Kase"" and the Dutch word ""Kaas"" mean?",Aged,Cheese,Cork,Keg,B,
50,Dairy,What is mascarpone?,Dessert,Fruit,Cheese,Sausage,C,Mascarpone is a triple-cream cow's milk cheese (75 per cent fat content) from Italy. It is an essential ingredient in the Italian dessert tiramisù.
50,Dairy,Which of the following is NOT a hard cheese?,Asiago,Double Gloucester,Manchego,Neufchâtel,D,
